央视频道,#genre#
天津卫视,http://222.71.189.186:9901/tsfile/live/0114_2.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://202.168.187.208:2024/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://222.71.189.186:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://202.168.187.208:2024/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://222.71.189.186:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://180.158.146.27:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://219.137.29.178:4433/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://222.71.189.186:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://202.168.187.208:2024/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://61.141.202.118:9901/tsfile/live/0125_2.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://202.168.187.208:2024/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://180.158.146.27:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://222.71.189.186:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://219.137.29.178:4433/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://202.168.187.208:2024/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://222.71.189.186:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://222.71.189.186:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://202.168.187.208:2024/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://180.158.146.27:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://202.168.187.208:2024/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://222.71.189.186:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://202.168.187.208:2024/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://222.71.189.186:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://202.168.187.208:2024/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://219.137.29.178:4433/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://222.71.189.186:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://222.71.189.186:9901/tsfile/live/0114_6.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://61.141.202.118:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://222.71.189.186:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://202.168.187.208:2024/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://222.71.189.186:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://202.168.187.208:2024/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://219.137.29.178:4433/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://123.118.53.89:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://202.168.187.208:2024/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://222.71.189.186:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://180.158.146.27:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://222.71.189.186:9901/tsfile/live/0114_5.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://202.168.187.208:2024/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://222.71.189.186:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://202.168.187.208:2024/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://202.168.187.208:2024/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://222.71.189.186:9901/tsfile/live/0114_4.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://202.168.187.208:2024/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://222.71.189.186:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://123.182.211.98:8088/tsfile/live/faacts/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://202.168.187.208:2024/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
BTV体育,http://123.118.53.89:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
BTV影视,http://123.118.53.89:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
BTV文艺,http://123.118.53.89:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
BTV新闻,http://123.118.53.89:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
BTV生活,http://123.118.53.89:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
BTV科教,http://123.118.53.89:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
BTV财经,http://123.118.53.89:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
上海教育,http://180.158.146.27:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
上海电视剧,http://180.158.146.27:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://180.158.146.27:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://180.158.146.27:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
密云电视,http://123.118.53.89:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
崇明综合,http://180.158.146.27:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://202.168.187.208:2024/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://219.137.29.178:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广州影视,http://202.168.187.208:2024/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
广州新闻,http://202.168.187.208:2024/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广州竞赛,http://202.168.187.208:2024/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://180.158.146.27:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,http://202.168.187.208:2024/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
朝阳融媒,http://123.118.53.89:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://123.182.211.98:8088/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
法制天地,http://180.158.146.27:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
法制天地,http://180.164.89.43:9901/tsfile/live/0107_12.m3u8?key=txiptv&playlive=1&authid=0
淘电影,http://123.118.53.89:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
淘精彩,http://123.118.53.89:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
第一财经,http://222.71.189.186:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://202.168.187.208:2024/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
都市,http://180.158.146.27:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://180.158.146.27:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://123.182.211.98:8088/tsfile/live/faacts/1020_1.m3u8?key=txiptv&playlive=1&authid=0
